brand_name,website,founder_name,contact,mrr_tier,why_need_agents,fit_score,verification_link,source
Tweet Hunter,tweethunter.io,JK Molina,@jk_molina,$30-50k,"Twitter growth tool needs AI agents for content generation, scheduling optimization, and engagement automation",9,https://twitter.com/jk_molina,Twitter Building in Public
Taplio,taplio.com,Alex Baffert,@alexbaffert,$30-50k,"LinkedIn growth platform needs AI agents for content creation, personal branding automation, and lead generation",9,https://twitter.com/alexbaffert,Twitter Building in Public
Typefully,typefully.com,Fabrizio Rinaldi,@linuz90,$20-30k,"Twitter writing tool needs AI agents for thread generation, scheduling, and analytics insights",8,https://twitter.com/linuz90,Twitter Building in Public
HeadshotPro,headshotpro.com,Danny Postma,@dannypostma,$50k+,"AI headshot generator needs agents for customer support, image processing automation, and marketing outreach",10,https://twitter.com/dannypostma,Twitter Building in Public
Bannerbear,bannerbear.com,Jon Yongfook,@yongfook,$30-50k,"Image generation API needs AI agents for template creation, customer onboarding automation, and support",9,https://twitter.com/yongfook,Twitter Building in Public
RemoteOK,remoteok.com,Pieter Levels,@levelsio,$50k+,"Remote job board needs AI agents for job matching, candidate screening, and employer outreach automation",8,https://twitter.com/levelsio,Twitter Building in Public
Nomad List,nomadlist.com,Pieter Levels,@levelsio,$50k+,"Digital nomad community needs AI agents for city recommendations, community management, and content curation",7,https://twitter.com/levelsio,Twitter Building in Public
Cal.com,cal.com,Peer Richelsen,@peer_rich,$50k+,"Open-source scheduling needs AI agents for meeting optimization, calendar management, and workflow automation",8,https://twitter.com/peer_rich,Twitter Building in Public
Gumroad,gumroad.com,Sahil Lavingia,@shl,$100k+,"Creator marketplace needs AI agents for seller onboarding, product recommendations, and customer support",8,https://twitter.com/shl,Twitter Building in Public
ConvertKit,convertkit.com,Nathan Barry,@nathanbarry,$100k+,"Email marketing platform needs AI agents for content generation, subscriber segmentation, and automation workflows",9,https://twitter.com/nathanbarry,Twitter Building in Public
